# gunzip -c exp/tri4/decode.si/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri4/graph 
# Started at Thu Apr 22 12:17:06 PKT 2021
#
At utterance begin, SIL accounts for 98.4% of phone occurrences, with duration (median, mean, 95-percentile) is (47,51.1,97) frames.
At utterance begin, nonsilence accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,21.7,37) frames.
At utterance begin, S_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (22,40.7,37) frames.
At utterance end, SIL accounts for 97.0% of phone occurrences, with duration (median, mean, 95-percentile) is (50,58.4,126) frames.
At utterance end, nonsilence accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (42,47.1,87) frames.
At utterance end, S_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (55,59.8,87) frames.
Overall, nonsilence accounts for 92.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.1,37) frames.
Overall, A_I accounts for 8.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,24) frames.
Overall, SIL accounts for 7.6% of phone occurrences, with duration (median, mean, 95-percentile) is (40,45.1,99) frames.
Overall, A_A_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.9,44) frames.
Overall, K_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,15) frames.
Overall, A_Y_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.3,41) frames.
Overall, R_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.1,33) frames.
Overall, I_I1_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,20.5,48) frames.
Overall, I_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.0,28) frames.
Overall, R_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.7,38) frames.
Overall, S_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (18,22.7,52) frames.
Overall, A_A_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.9,49) frames.
Overall, N_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.0,28) frames.
Overall, S_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,19.3,45) frames.
Overall, I_I1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.3,43) frames.
Overall, O_O_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,18.2,44) frames.
Overall, L_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.9,30) frames.
Overall, U_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.4,26) frames.
Overall, B_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.2,30) frames.
Overall, A_Y_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.8,37) frames.
Overall, D_D_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,20) frames.
Overall, U_U_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.2,42) frames.
Overall, Z_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.6,36) frames.
Overall, A_E1_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.6,48) frames.
Overall, J_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,23) frames.
Overall, M_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,22) frames.
