# gunzip -c exp/tri4/decode/depth_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/tri4/graph exp/tri4/decode/ali_frame_tmp.gz 
# Started at Thu Apr 22 13:58:17 PKT 2021
#
The total amount of data analyzed assuming 100 frames per second is 1.0 hours
Overall, lattice depth (10,50,90-percentile)=(24,130,506) and mean=212.0
Nonsilence phones as a group account for 80.1% of frames, with lattice depth (10,50,90-percentile)=(28,148,543) and mean=230.5
Phone SIL accounts for 19.9% of frames, with lattice depth (10,50,90-percentile)=(13,75,318) and mean=137.9
Phone A_A_I accounts for 5.9% of frames, with lattice depth (10,50,90-percentile)=(33,167,526) and mean=237.1
Phone A_Y_E accounts for 4.8% of frames, with lattice depth (10,50,90-percentile)=(35,164,557) and mean=247.2
Phone A_I accounts for 4.7% of frames, with lattice depth (10,50,90-percentile)=(30,170,596) and mean=258.0
Phone I_I1_E accounts for 3.8% of frames, with lattice depth (10,50,90-percentile)=(34,156,566) and mean=247.1
Phone K_B accounts for 2.5% of frames, with lattice depth (10,50,90-percentile)=(23,142,548) and mean=232.3
Phone A_A_E accounts for 2.4% of frames, with lattice depth (10,50,90-percentile)=(36,157,546) and mean=228.5
Phone R_E accounts for 2.3% of frames, with lattice depth (10,50,90-percentile)=(41,159,588) and mean=248.2
Phone I_I1_I accounts for 2.3% of frames, with lattice depth (10,50,90-percentile)=(26,147,545) and mean=221.1
Phone S_B accounts for 2.3% of frames, with lattice depth (10,50,90-percentile)=(23,143,509) and mean=216.9
Phone R_I accounts for 2.2% of frames, with lattice depth (10,50,90-percentile)=(28,163,581) and mean=260.9
Phone A_Y_N_E accounts for 2.1% of frames, with lattice depth (10,50,90-percentile)=(23,136,598) and mean=226.0
Phone O_O_I accounts for 1.9% of frames, with lattice depth (10,50,90-percentile)=(20,133,476) and mean=197.5
Phone S_I accounts for 1.8% of frames, with lattice depth (10,50,90-percentile)=(27,129,428) and mean=190.9
Phone B_B accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(33,126,493) and mean=218.7
Phone I_I accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(33,164,588) and mean=255.5
Phone A_Y_I accounts for 1.5% of frames, with lattice depth (10,50,90-percentile)=(30,157,555) and mean=230.6
Phone U_U_I accounts for 1.5% of frames, with lattice depth (10,50,90-percentile)=(28,155,527) and mean=237.9
Phone A_E1_I accounts for 1.4% of frames, with lattice depth (10,50,90-percentile)=(28,134,589) and mean=224.2
Phone Z_I accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(19,154,480) and mean=222.6
Phone N_I accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(37,183,579) and mean=264.6
Phone O_O_N_E accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(27,136,543) and mean=216.4
Phone O_B accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(17,105,442) and mean=186.3
Phone U_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(34,159,587) and mean=255.4
Phone L_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(20,166,609) and mean=242.3
Phone S_H_I accounts for 1.0% of frames, with lattice depth (10,50,90-percentile)=(14,83,465) and mean=172.6
Phone H_B accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(13,79,237) and mean=121.8
Phone J_I accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(32,157,580) and mean=229.4
Phone O_O_E accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(44,150,541) and mean=223.6
Phone M_B accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(30,165,663) and mean=253.4
Phone O_I accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(19,93,369) and mean=152.7
Phone A_E_N_E accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(12,62,157) and mean=74.9
Phone F_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(19,134,459) and mean=194.6
Phone T_S1_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(25,128,695) and mean=242.5
Phone D_D_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(35,196,577) and mean=265.0
Phone V_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(31,195,514) and mean=262.3
Phone S_E accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(30,135,493) and mean=188.6
Phone T_D_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(27,131,601) and mean=251.1
Phone P_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(34,174,645) and mean=260.8
Phone B_E accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(36,136,469) and mean=196.3
Phone D_Z_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(28,148,629) and mean=249.9
Phone B_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(43,174,459) and mean=245.9
Phone T_D_I accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(17,167,530) and mean=230.6
Phone Z_E accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(33,112,440) and mean=177.3
Phone F_B accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(15,63,357) and mean=131.9
Phone S_H_B accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(19,132,433) and mean=184.9
# Accounting: time=1 threads=1
# Ended (code 0) at Thu Apr 22 13:58:18 PKT 2021, elapsed time 1 seconds
