# gunzip -c exp/tri4/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Apr 22 12:00:29 PKT 2021
#
At utterance begin, SIL accounts for 95.3% of phone occurrences, with duration (median, mean, 95-percentile) is (44,49.2,104) frames.
At utterance begin, nonsilence accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,22) frames.
At utterance begin, S_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.3,24) frames.
At utterance end, SIL accounts for 98.0% of phone occurrences, with duration (median, mean, 95-percentile) is (50,55.4,108) frames.
At utterance end, nonsilence accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,26) frames.
At utterance end, A_Y_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.0,18) frames.
Overall, nonsilence accounts for 94.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.3,23) frames.
Overall, A_I accounts for 8.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,13) frames.
Overall, SIL accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (32,37.0,94) frames.
Overall, A_A_I accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.4,27) frames.
Overall, A_Y_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.7,30) frames.
Overall, K_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, R_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.2,16) frames.
Overall, I_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.1,14) frames.
Overall, I_I1_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.2,33) frames.
Overall, A_A_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.5,32) frames.
Overall, R_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.7,25) frames.
Overall, N_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,17) frames.
Overall, M_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,19) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,16) frames.
Overall, I_I1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,27) frames.
Overall, U_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,15) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.8,28) frames.
Overall, A_Y_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,23) frames.
Overall, S_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.9,25) frames.
Overall, O_O_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.9,24) frames.
