# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Thu Apr 22 14:30:18 PKT 2021
#
At utterance begin, SIL accounts for 96.5% of phone occurrences, with duration (median, mean, 95-percentile) is (43,48.0,103) frames.
At utterance begin, nonsilence accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,18) frames.
At utterance begin, S_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.3,18) frames.
At utterance end, SIL accounts for 97.4% of phone occurrences, with duration (median, mean, 95-percentile) is (45,50.1,105) frames.
At utterance end, nonsilence accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,24.1,71) frames.
At utterance end, A_A_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.0,22) frames.
At utterance end, A_Y_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.6,9) frames.
At utterance end, A_E_N_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (62,60.8,74) frames.
Overall, nonsilence accounts for 93.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,23) frames.
Overall, A_I accounts for 8.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,11) frames.
Overall, SIL accounts for 6.7% of phone occurrences, with duration (median, mean, 95-percentile) is (29,35.0,93) frames.
Overall, A_A_I accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.4,28) frames.
Overall, A_Y_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.6,35) frames.
Overall, K_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,13) frames.
Overall, I_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,12) frames.
Overall, R_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,15) frames.
Overall, I_I1_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.7,35) frames.
Overall, A_A_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,16.0,41) frames.
Overall, R_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.0,28) frames.
