# gunzip -c exp/tri1_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Apr 21 04:17:22 PKT 2021
#
At utterance begin, SIL accounts for 99.3% of phone occurrences, with duration (median, mean, 95-percentile) is (37,36.3,56) frames.
At utterance begin, nonsilence accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,12) frames.
At utterance end, SIL accounts for 99.2% of phone occurrences, with duration (median, mean, 95-percentile) is (51,50.7,70) frames.
At utterance end, nonsilence accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (43,49.8,69) frames.
At utterance end, A_E_N_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (53,60.8,69) frames.
Overall, nonsilence accounts for 96.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,17) frames.
Overall, A_I accounts for 8.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, A_A_I accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,20) frames.
Overall, A_Y_E accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,18) frames.
Overall, SIL accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (41,38.9,64) frames.
Overall, K_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,12) frames.
Overall, R_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, I_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,10) frames.
Overall, I_I1_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.2,20) frames.
Overall, A_A_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,20) frames.
Overall, R_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,13) frames.
Overall, N_I accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,13) frames.
Overall, M_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,13) frames.
