# gunzip -c exp/tri3/decode.si/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3/graph 
# Started at Wed Apr 21 04:26:06 PKT 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (38,38.2,61) frames.
At utterance end, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (46,44.9,63) frames.
Overall, nonsilence accounts for 95.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,18) frames.
Overall, A_I accounts for 8.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
Overall, A_Y_E accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,22) frames.
Overall, K_B accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,12) frames.
Overall, SIL accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (37,35.6,61) frames.
Overall, A_A_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.8,23) frames.
Overall, R_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,14) frames.
Overall, A_A_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,20) frames.
Overall, I_I1_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.6,23) frames.
Overall, S_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.7,21) frames.
Overall, O_O_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,23) frames.
Overall, B_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,17) frames.
Overall, I_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,11) frames.
Overall, R_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, L_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
Overall, M_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,14) frames.
Overall, H_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,13) frames.
Overall, O_O_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,20) frames.
Overall, N_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,14) frames.
Overall, N_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, I_I1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.5,21) frames.
Overall, A_Y_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,19) frames.
Overall, A_Y_N_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.2,22) frames.
Overall, U_U_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,19) frames.
Overall, L_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.4,16) frames.
Overall, P_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,15) frames.
Overall, L_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, A_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,14) frames.
Overall, T_D_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,11) frames.
Overall, U_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
Overall, D_Z_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,18) frames.
Overall, A_E1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.8,19) frames.
Overall, N_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,14) frames.
Overall, H_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, S_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.8,18) frames.
Overall, A_A_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.1,24) frames.
Overall, D_D_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,12) frames.
Overall, G_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,11) frames.
