# gunzip -c exp/tri4/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri4/graph 
# Started at Wed Apr 21 10:38:41 PKT 2021
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (37,38.1,61) frames.
At utterance end, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (42,42.4,62) frames.
Overall, nonsilence accounts for 95.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,19) frames.
Overall, A_I accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,10) frames.
Overall, A_Y_E accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.2,23) frames.
Overall, K_B accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,12) frames.
Overall, SIL accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (35,34.7,61) frames.
Overall, I_I1_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.9,23) frames.
Overall, A_A_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.5,22) frames.
Overall, R_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, A_A_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,22) frames.
Overall, I_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,13) frames.
Overall, O_O_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,22) frames.
Overall, S_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.5,20) frames.
Overall, B_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,17) frames.
Overall, L_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
Overall, R_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,11) frames.
Overall, M_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,16) frames.
Overall, O_O_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,19) frames.
Overall, H_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,12) frames.
Overall, I_I1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.3,23) frames.
Overall, N_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,14) frames.
Overall, A_Y_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,18) frames.
Overall, N_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, A_Y_N_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.4,26) frames.
Overall, L_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.1,15) frames.
Overall, U_U_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.8,19) frames.
Overall, U_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.8,10) frames.
Overall, L_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,14) frames.
Overall, T_D_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,12) frames.
Overall, A_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
Overall, P_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.8,13) frames.
Overall, H_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, S_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.8,19) frames.
Overall, A_E1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,19) frames.
Overall, D_D_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,15) frames.
Overall, D_Z_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,19) frames.
Overall, N_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,14) frames.
Overall, G_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,12) frames.
Overall, A_A_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.8,22) frames.
Overall, D_D_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
Overall, R_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,10) frames.
Overall, M_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,16) frames.
Overall, O_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,20) frames.
Overall, F_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,18) frames.
Overall, D_D_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,13) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,14) frames.
Overall, J_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, S_H_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.4,23) frames.
Overall, G_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, V_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,16) frames.
Overall, J_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,17) frames.
The optional-silence phone SIL occupies 14.9% of frames overall 
Limiting the stats to the 87.6% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 2.8% of frames.
