# gunzip -c exp/tri3/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Apr 21 07:00:34 PKT 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 73.3333333333% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 82.2% of phone occurrences, with duration (median, mean, 95-percentile) is (25,28.5,72) frames.
At utterance begin, nonsilence accounts for 17.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,20) frames.
At utterance begin, M_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.0,14) frames.
At utterance begin, S_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.6,21) frames.
At utterance begin, K_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,10) frames.
At utterance begin, H_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.1,19) frames.
At utterance begin, A_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,13) frames.
At utterance begin, S_H_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.4,20) frames.
At utterance begin, T_D_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,7) frames.
At utterance begin, P_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,9) frames.
At utterance begin, A_A_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.7,13) frames.
At utterance begin, A_E1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.7,14) frames.
At utterance begin, B_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.7,15) frames.
At utterance begin, F_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.7,6) frames.
At utterance begin, U_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.7,9) frames.
At utterance begin, V_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,13) frames.
At utterance end, SIL accounts for 73.3% of phone occurrences, with duration (median, mean, 95-percentile) is (35,48.5,131) frames.
At utterance end, nonsilence accounts for 26.7% of phone occurrences, with duration (median, mean, 95-percentile) is (19,22.3,45) frames.
At utterance end, A_Y_E accounts for 9.7% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.6,34) frames.
At utterance end, A_A_E accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.6,29) frames.
At utterance end, A_E_N_E accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (22,28.5,57) frames.
At utterance end, A_Y_N_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (22,22.9,37) frames.
At utterance end, I_I1_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,22.4,30) frames.
At utterance end, O_O_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.7,7) frames.
Overall, nonsilence accounts for 92.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.0,34) frames.
Overall, A_I accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,16) frames.
Overall, SIL accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,26.1,91) frames.
Overall, A_A_I accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.5,33) frames.
Overall, A_Y_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (16,20.0,49) frames.
Overall, K_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,15) frames.
Overall, R_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,19) frames.
Overall, I_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,15) frames.
Overall, I_I1_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (19,22.5,50) frames.
Overall, A_A_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (19,25.1,58) frames.
Overall, R_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.3,38) frames.
Overall, N_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,22) frames.
Overall, M_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.2,26) frames.
Overall, L_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,18) frames.
Overall, I_I1_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.0,29) frames.
Overall, U_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,18) frames.
Overall, S_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.9,31) frames.
Overall, A_Y_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.1,25) frames.
Overall, S_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.5,26) frames.
